epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1247.96,0.79206,0.4982,0.98621,0.84131,0.83333,0.84819,0.60856,1.14149,0.86043,1.23317,0.000848969,0.000848969,0.000848969
43,1277.21,0.7868,0.47795,0.98326,0.89409,0.80813,0.84773,0.5824,1.16102,0.80927,1.25104,0.000834822,0.000834822,0.000834822
44,1305.27,0.77959,0.4736,0.97976,0.83412,0.84306,0.89815,0.59159,1.17696,0.84557,1.2139,0.000820675,0.000820675,0.000820675
45,1334.2,0.783,0.4654,0.9815,0.80605,0.84085,0.85236,0.60076,1.10196,0.79367,1.17832,0.000806528,0.000806528,0.000806528
46,1363.39,0.79332,0.47626,0.98219,0.86752,0.8766,0.89452,0.57685,1.19102,0.91796,1.26154,0.00079238,0.00079238,0.00079238
47,1393.17,0.77721,0.46664,0.98005,0.86676,0.85032,0.87433,0.58953,1.12444,0.82942,1.24081,0.000778233,0.000778233,0.000778233
48,1422.54,0.78022,0.46792,0.99005,0.84763,0.83243,0.87084,0.58964,1.09412,0.86486,1.21124,0.000764086,0.000764086,0.000764086
49,1451.27,0.77338,0.45698,0.98089,0.83649,0.87103,0.88761,0.60811,1.10897,0.80004,1.20547,0.000749939,0.000749939,0.000749939
50,1481.58,0.76399,0.45094,0.97743,0.87027,0.9112,0.91203,0.59164,1.22197,0.81242,1.32402,0.000735792,0.000735792,0.000735792
51,1509.8,0.76173,0.44993,0.97408,0.94763,0.77577,0.88776,0.61311,1.14165,0.79101,1.19291,0.000721645,0.000721645,0.000721645
52,1540.88,0.75383,0.45369,0.97715,0.86637,0.81736,0.87258,0.60036,1.15324,0.81452,1.23391,0.000707498,0.000707498,0.000707498
53,1568.31,0.74364,0.45254,0.96301,0.82691,0.89876,0.88636,0.60405,1.11192,0.83558,1.19665,0.000693351,0.000693351,0.000693351
54,1598.45,0.75585,0.45065,0.96904,0.89402,0.85155,0.90409,0.64794,1.04572,0.70534,1.18857,0.000679204,0.000679204,0.000679204
55,1625.46,0.75299,0.4494,0.96303,0.89079,0.8713,0.88206,0.59031,1.1742,0.77852,1.29155,0.000665057,0.000665057,0.000665057
56,1655.49,0.74315,0.457,0.97156,0.89276,0.91357,0.90776,0.64047,1.09092,0.739,1.17298,0.000650909,0.000650909,0.000650909
57,1683.67,0.74239,0.44071,0.96077,0.89675,0.87496,0.90659,0.61391,1.09226,0.67188,1.27747,0.000636762,0.000636762,0.000636762
58,1713.95,0.73302,0.43854,0.96124,0.89981,0.89496,0.90635,0.60877,1.12786,0.71157,1.20269,0.000622615,0.000622615,0.000622615
59,1741.5,0.72714,0.43367,0.95772,0.87951,0.89735,0.897,0.61509,1.10865,0.73596,1.19904,0.000608468,0.000608468,0.000608468
60,1770.99,0.72457,0.42481,0.95597,0.90046,0.88814,0.9133,0.58904,1.19172,0.79922,1.26922,0.000594321,0.000594321,0.000594321
